entity_id	total_population	male	female
LG-32005	32304.0	15391.0	16913.0
LG-32006	52912.0	25640.0	27272.0
LG-32007	102564.0	48964.0	53600.0
LG-32008	34856.0	16369.0	18487.0
LG-32009	40969.0	19617.0	21352.0
LG-32010	31648.0	15007.0	16641.0
LG-32011	20291.0	9606.0	10685.0
LG-32012	33535.0	15907.0	17628.0
LG-32013	22377.0	10867.0	11510.0
LG-32014	36695.0	17315.0	19380.0
LG-32015	79110.0	37495.0	41615.0
LG-32016	48253.0	22900.0	25353.0
LG-32017	54672.0	25961.0	28711.0
LG-33001	43102.0	21876.0	21226.0
LG-33002	31559.0	16178.0	15381.0
LG-33003	68606.0	34478.0	34128.0
LG-33004	34028.0	17150.0	16878.0
LG-33005	23236.0	11502.0	11734.0
LG-33006	72943.0	35996.0	36947.0
LG-33007	48301.0	23630.0	24671.0
LG-33008	80289.0	38476.0	41813.0
LG-33009	69340.0	33581.0	35759.0
LG-33010	55992.0	26697.0	29295.0
LG-33011	64034.0	31040.0	32994.0
LG-33012	8473.0	4132.0	4341.0
LG-41001	9876.0	4683.0	5193.0
LG-41002	9576.0	4379.0	5197.0
LG-41003	46438.0	21794.0	24644.0
LG-41004	52269.0	24534.0	27735.0
LG-41005	29518.0	14097.0	15421.0
LG-41006	53016.0	24645.0	28371.0
LG-41007	73225.0	34410.0	38815.0
LG-41008	44733.0	20768.0	23965.0
LG-41009	11397.0	5423.0	5974.0
LG-41010	36883.0	17484.0	19399.0
LG-41011	13048.0	6113.0	6935.0
LG-41012	48575.0	22910.0	25665.0
LG-41013	16129.0	7573.0	8556.0
LG-41014	34432.0	15962.0	18470.0
LG-41015	84201.0	39578.0	44623.0
LG-41016	16742.0	7962.0	8780.0
LG-41017	3824.0	1858.0	1966.0
LG-42001	26661.0	13278.0	13383.0
LG-42002	24417.0	12173.0	12244.0
LG-42003	19732.0	10057.0	9675.0
LG-42004	20641.0	10388.0	10253.0
LG-42005	8119.0	4157.0	3962.0
LG-43001	11578.0	5987.0	5591.0
LG-43002	13118.0	6448.0	6670.0
LG-43003	66388.0	32478.0	33910.0
LG-43004	51145.0	24701.0	26444.0
LG-43005	29886.0	15101.0	14785.0
LG-44001	9699.0	4844.0	4855.0
LG-44002	7117.0	3634.0	3483.0
